GEOID10,POP_2010,POP_WHITE,POP_BLACK,POP_NATV,POP_ASN,POP_ISLND,POP_OTHER,POP_MULTI,NOT_HISP,NH_WHITE,NH_BLACK,NH_NATV,NH_ASN,NH_ISLND,NH_OTHER,NH_MULTI,HISP,H_WHITE,H_BLACK,H_NATV,H_ASN,H_ISLND,H_OTHER,H_MULTI
250039251002,2059,1875,71,3,41,0,18,51,1976,1821,63,3,41,0,6,42,83,54,8,0,0,0,12,9
250039251003,793,705,35,3,10,0,29,11,725,662,35,3,10,0,7,8,68,43,0,0,0,0,22,3
250039251004,659,582,15,5,7,0,23,27,586,537,15,5,7,0,3,19,73,45,0,0,0,0,20,8
250039251005,710,650,10,4,18,0,13,15,677,632,10,0,18,0,3,14,33,18,0,4,0,0,10,1
250039251006,1198,1058,39,9,31,0,28,33,1104,1008,35,1,31,0,4,25,94,50,4,8,0,0,24,8
250039251007,1127,1051,17,1,14,1,13,30,1087,1028,17,0,14,1,1,26,40,23,0,1,0,0,12,4
250039261001,1099,1062,6,3,1,0,17,10,1069,1049,6,3,1,0,1,9,30,13,0,0,0,0,16,1
250039261002,537,507,7,3,2,0,7,11,523,505,7,2,2,0,0,7,14,2,0,1,0,0,7,4
250039261003,729,702,9,1,4,0,6,7,703,687,8,0,4,0,1,3,26,15,1,1,0,0,5,4
250039261004,892,850,14,0,4,0,11,13,857,829,13,0,4,0,0,11,35,21,1,0,0,0,11,2
250039311001,695,687,0,0,0,0,0,8,692,686,0,0,0,0,0,6,3,1,0,0,0,0,0,2
250039311002,1007,995,3,0,2,0,0,7,994,982,3,0,2,0,0,7,13,13,0,0,0,0,0,0
250039313001,752,730,6,2,6,0,0,8,747,726,5,2,6,0,0,8,5,4,1,0,0,0,0,0
250039313002,692,649,13,4,2,0,0,24,683,644,13,4,1,0,0,21,9,5,0,0,1,0,0,3
250039314001,899,864,6,2,5,0,1,21,895,861,6,1,5,0,1,21,4,3,0,1,0,0,0,0
250039314002,847,829,8,3,3,0,0,4,847,829,8,3,3,0,0,4,0,0,0,0,0,0,0,0
250039322001,538,533,1,0,0,0,3,1,528,526,1,0,0,0,0,1,10,7,0,0,0,0,3,0
250039322002,1071,1034,5,1,6,0,10,15,1047,1017,5,0,6,0,4,15,24,17,0,1,0,0,6,0
250039322003,708,685,6,4,2,0,6,5,699,682,6,4,2,0,0,5,9,3,0,0,0,0,6,0
250039323001,637,617,7,0,1,0,2,10,629,611,7,0,1,0,0,10,8,6,0,0,0,0,2,0
250039323002,1395,1370,1,4,6,0,2,12,1385,1365,1,1,6,0,0,12,10,5,0,3,0,0,2,0
250039332001,327,320,3,1,3,0,0,0,324,318,3,0,3,0,0,0,3,2,0,1,0,0,0,0
250039332002,961,940,14,0,1,0,4,2,955,938,14,0,1,0,0,2,6,2,0,0,0,0,4,0
250039333001,931,896,17,1,8,0,1,8,916,886,13,1,8,0,0,8,15,10,4,0,0,0,1,0
250039333002,578,561,5,0,4,0,4,4,566,553,5,0,4,0,0,4,12,8,0,0,0,0,4,0
250039334001,754,732,0,3,4,0,4,11,743,725,0,3,4,0,1,10,11,7,0,0,0,0,3,1
250039334002,858,841,2,1,5,0,0,9,851,834,2,1,5,0,0,9,7,7,0,0,0,0,0,0
250039334003,915,882,8,1,7,2,3,12,905,875,8,0,7,2,2,11,10,7,0,1,0,0,1,1
250039342001,548,524,7,0,10,0,4,3,542,523,6,0,10,0,0,3,6,1,1,0,0,0,4,0
250039342002,758,730,8,0,8,0,1,11,752,727,8,0,8,0,1,8,6,3,0,0,0,0,0,3
250039343001,494,483,3,0,3,0,0,5,492,481,3,0,3,0,0,5,2,2,0,0,0,0,0,0
250039343002,1392,1350,8,1,7,1,7,18,1362,1334,8,1,7,1,0,11,30,16,0,0,0,0,7,7
250039351001,228,214,2,0,3,0,1,8,227,214,2,0,3,0,0,8,1,0,0,0,0,0,1,0
250039351002,717,689,6,1,6,0,3,12,704,686,5,0,6,0,0,7,13,3,1,1,0,0,3,5
250039351003,889,864,4,3,7,0,1,10,872,850,3,3,6,0,1,9,17,14,1,0,1,0,0,1
250039351004,586,576,1,2,2,0,3,2,581,574,1,1,2,0,1,2,5,2,0,1,0,0,2,0
250039352001,1529,1364,110,4,17,0,14,20,1511,1357,110,4,17,0,4,19,18,7,0,0,0,0,10,1
250039352002,1031,995,15,0,5,0,1,15,1015,983,12,0,5,0,0,15,16,12,3,0,0,0,1,0
250039352003,961,852,58,0,7,0,13,31,918,831,55,0,7,0,0,25,43,21,3,0,0,0,13,6
250039352004,683,656,13,1,3,0,1,9,672,648,12,1,3,0,0,8,11,8,1,0,0,0,1,1
250039352005,917,879,13,1,20,1,0,3,912,874,13,1,20,1,0,3,5,5,0,0,0,0,0,0
250039353001,1039,971,21,0,14,0,2,31,1019,957,21,0,14,0,1,26,20,14,0,0,0,0,1,5
250039353002,1323,1229,28,10,7,0,15,34,1269,1207,20,10,7,0,0,25,54,22,8,0,0,0,15,9
250039353003,988,951,11,1,3,0,9,13,962,933,11,1,3,0,1,13,26,18,0,0,0,0,8,0
250039353004,441,418,12,3,1,0,2,5,431,411,12,1,1,0,1,5,10,7,0,2,0,0,1,0
250056001001,2224,2116,45,1,30,0,6,26,2170,2071,45,1,30,0,3,20,54,45,0,0,0,0,3,6
250056001002,1696,1558,49,3,33,2,30,21,1656,1528,49,3,33,2,23,18,40,30,0,0,0,0,7,3
250056002021,2823,2506,92,1,102,0,61,61,2745,2458,92,1,102,0,41,51,78,48,0,0,0,0,20,10
250056002022,816,745,17,0,30,0,9,15,797,735,17,0,30,0,0,15,19,10,0,0,0,0,9,0
250056002023,842,749,51,0,11,1,7,23,818,736,51,0,11,1,2,17,24,13,0,0,0,0,5,6
250056002031,1805,1656,62,4,40,0,7,36,1782,1646,58,4,39,0,3,32,23,10,4,0,1,0,4,4
250056002032,927,873,25,4,16,0,6,3,902,854,25,4,16,0,0,3,25,19,0,0,0,0,6,0
250056002033,2879,2693,60,1,83,0,15,27,2824,2651,55,0,83,0,8,27,55,42,5,1,0,0,7,0
250056002041,1790,1553,80,3,75,0,33,46,1740,1528,80,3,75,0,12,42,50,25,0,0,0,0,21,4
250056002042,2105,1831,130,1,67,1,18,57,2047,1804,125,0,67,1,4,46,58,27,5,1,0,0,14,11
250056101001,1833,1655,54,2,88,0,11,23,1807,1641,53,2,88,0,1,22,26,14,1,0,0,0,10,1
250056101002,2091,1918,48,4,74,0,17,30,2038,1885,43,4,74,0,7,25,53,33,5,0,0,0,10,5
250056101003,1179,1118,30,0,11,0,6,14,1156,1102,28,0,11,0,2,13,23,16,2,0,0,0,4,1
250056102021,2051,1954,18,0,39,4,9,27,2019,1930,18,0,39,0,5,27,32,24,0,0,0,4,4,0
250056102022,1185,1061,36,0,47,0,15,26,1145,1040,34,0,47,0,4,20,40,21,2,0,0,0,11,6
250056102023,1364,1268,41,2,39,0,4,10,1353,1259,39,2,39,0,4,10,11,9,2,0,0,0,0,0
250056102024,986,904,23,5,33,0,6,15,971,890,23,5,33,0,5,15,15,14,0,0,0,0,1,0
250056102031,1427,1329,22,0,41,0,3,32,1404,1313,22,0,41,0,0,28,23,16,0,0,0,0,3,4
